user,distance,width,movement_time
1,60,20,804
1,75,6,768
1,75,8,836
1,75,10,799
1,75,14,688
1,75,18,562
1,75,20,529
1,120,6,1199
1,120,8,1731
1,120,10,895
1,120,14,848
1,120,18,713
1,120,20,1011
1,160,6,1007
1,160,8,965
1,160,10,1331
1,160,14,865
1,160,18,709
1,160,20,832
1,210,6,2034
1,210,8,802
1,210,10,709
1,210,14,1136
1,210,18,977
1,210,20,768
2,40,6,625
2,40,8,880
2,40,10,751
2,40,14,698
2,40,18,786
2,40,20,510
2,40,20,441
2,60,6,680
2,60,8,783
2,60,10,773
2,60,14,599
2,60,18,456
2,60,20,649
2,75,6,945
2,75,8,768
2,75,10,951
2,75,14,656
2,75,18,600
2,75,18,686
2,75,20,794
2,120,6,1049
2,120,8,1114
2,120,10,1272
2,120,14,656
2,120,14,670
2,120,18,1047
2,120,20,1015
2,160,6,1113
2,160,8,1168
2,160,10,993
2,160,14,1102
2,160,18,885
2,160,20,847
2,210,6,1288
2,210,6,1001
2,210,8,1296
2,210,10,872
2,210,14,783
2,210,18,975
2,210,20,839
2,40,6,839
2,40,8,834
2,40,10,480
2,40,14,480
2,40,18,724
2,40,20,364
2,60,6,665
2,60,8,793
2,60,10,742
2,60,14,730
2,60,18,479
2,60,20,593
2,75,6,1190
2,75,8,967
2,75,10,897
2,75,14,431
2,75,18,602
2,75,20,642
2,120,6,1223
2,120,8,1083
2,120,10,888
2,120,14,708
2,120,18,935
2,120,20,775
2,160,6,886
2,160,6,856
2,160,8,1271
2,160,10,912
2,160,14,979
2,160,18,852
2,160,20,721
2,210,6,1313
2,210,8,1280
2,210,10,1073
2,210,14,960
2,210,18,1009
2,210,20,958
2,40,6,719
2,40,8,720
2,40,10,440
2,40,14,464
2,40,18,603
2,40,20,394
2,40,20,368
2,60,6,521
2,60,8,777
2,60,10,610
2,60,14,606
2,60,18,359
2,60,18,537
2,60,20,543
2,75,6,778
2,75,8,566
2,75,10,673
2,75,14,538
2,75,18,585
2,75,18,574
2,75,20,638
2,120,6,983
2,120,8,996
2,120,10,1112
2,120,14,621
2,120,18,816
2,120,20,776
2,160,6,825
2,160,8,1056
2,160,10,1024
2,160,14,936
2,160,18,850
2,160,20,704
2,210,6,1106
2,210,8,1145
2,210,10,943
2,210,14,1001
2,210,18,1001
2,210,20,842
2,40,6,545
2,40,8,664
2,40,10,432
2,40,14,584
2,40,18,582
2,40,20,632
2,60,6,918
2,60,8,816
2,60,10,635
2,60,14,754
2,60,18,619
2,60,20,760
2,75,6,1270
2,75,6,986
2,75,8,723
2,75,10,640
2,75,14,546
2,75,14,682
2,75,18,641
2,75,20,494
2,120,6,1114
2,120,8,894
2,120,10,1369
2,120,14,602
2,120,18,930
2,120,20,839
2,160,6,856
2,160,6,1296
2,160,8,897
2,160,10,999
2,160,14,1191
2,160,18,794
2,160,20,729
2,210,6,1039
2,210,8,1228
2,210,10,926
2,210,14,1042
2,210,18,991
2,210,20,768
2,40,6,496
2,40,8,653
2,40,10,552
2,40,14,582
2,40,18,582
2,40,20,521
2,60,6,560
2,60,8,632
2,60,10,597
2,60,14,725
2,60,18,523
2,60,20,743
2,75,6,903
2,75,8,776
2,75,10,712
2,75,14,526
2,75,18,582
2,75,20,562
2,120,6,1128
2,120,8,834
2,120,10,936
2,120,14,671
2,120,18,790
2,120,20,883
2,160,6,1031
2,160,8,943
2,160,10,929
2,160,14,990
2,160,18,800
2,160,20,768
2,210,6,1274
2,210,8,1004
2,210,10,932
2,210,14,1158
2,210,18,990
2,210,20,816
2,40,6,672
2,40,8,699
2,40,10,465
2,40,14,522
2,40,18,610
2,40,20,430
2,60,6,849
2,60,8,809
2,60,10,555
2,60,14,595
2,60,18,445
2,60,20,872
2,75,6,1137
2,75,8,728
2,75,10,695
2,75,14,769
2,75,18,579
2,75,20,608
2,120,6,975
2,120,8,1064
2,120,10,965
2,120,14,608
2,120,14,750
2,120,18,753
2,120,20,816
2,160,6,951
2,160,8,1000
2,160,10,1000
2,160,14,986
2,160,18,763
2,160,20,625
2,210,6,1171
2,210,8,952
2,210,10,909
2,210,14,958
2,210,18,963
2,210,20,809
2,40,6,1009
2,40,6,585
2,40,8,574
2,40,10,712
2,40,10,514
2,40,14,441
2,40,18,560
2,40,20,530
2,60,6,647
2,60,8,695
2,60,10,527
2,60,14,599
2,60,18,468
2,60,20,694
2,75,6,1143
2,75,8,743
2,75,10,696
2,75,14,695
2,75,18,660
2,75,20,616
2,120,6,886
2,120,8,1137
2,120,10,930
2,120,14,729
2,120,18,711
2,120,20,727
2,160,6,881
2,160,8,848
2,160,10,976
2,160,14,1048
2,160,18,717
2,160,20,669
2,210,6,978
2,210,8,887
2,210,10,769
2,210,14,970
2,210,18,1191
2,210,20,805
2,40,6,760
2,40,8,569
2,40,10,727
2,40,14,577
2,40,18,560
2,40,20,455
2,60,6,807
2,60,8,646
2,60,10,993
2,60,14,577
2,60,18,415
2,60,20,738
2,75,6,1026
2,75,8,675
2,75,10,656
2,75,14,874
2,75,18,636
2,75,18,680
2,75,20,551
2,120,6,995
2,120,8,861
2,120,10,1184
2,120,14,606
2,120,18,778
2,120,20,752
2,160,6,1024
2,160,8,1176
2,160,10,969
2,160,14,1169
2,160,18,735
2,160,20,611
2,210,6,889
2,210,8,793
2,210,10,953
2,210,14,815
2,210,18,1162
2,210,20,970
2,40,6,990
2,40,8,718
2,40,10,695
2,40,14,422
2,40,18,575
2,40,20,430
2,60,6,767
2,60,8,769
2,60,10,653
2,60,14,560
2,60,18,578
2,60,20,654
2,75,6,1704
2,75,8,677
2,75,10,665
2,75,14,624
2,75,18,720
2,75,20,616
2,120,6,1183
2,120,8,1139
2,120,10,904
2,120,14,744
2,120,18,815
2,120,20,758
2,160,6,824
2,160,8,1088
2,160,10,1151
2,160,14,1085
2,160,18,753
2,160,20,589
2,210,6,943
2,210,8,1167
2,210,10,880
2,210,10,962
2,210,14,768
2,210,18,1239
2,210,20,801
2,40,6,761
2,40,8,690
2,40,10,649
2,40,14,433
2,40,18,577
2,40,20,627
2,60,6,778
2,60,8,649
2,60,10,634
2,60,14,600
2,60,18,513
2,60,18,426
2,60,20,706
2,75,6,1158
2,75,8,857
2,75,10,711
2,75,14,664
2,75,18,625
2,75,20,560
2,120,6,929
2,120,8,903
2,120,10,910
2,120,14,656
2,120,18,761
2,120,20,747
2,160,6,928
2,160,8,1049
2,160,10,1096
2,160,14,891
2,160,18,687
2,160,20,697
2,210,6,896
2,210,8,928
2,210,10,894
2,210,14,905
2,210,18,1016
2,210,20,901
3,40,6,477
3,40,8,455
3,40,10,536
3,40,14,392
3,40,18,395
3,40,20,257
3,60,6,480
3,60,8,426
3,60,8,497
3,60,10,551
3,60,14,408
3,60,18,360
3,60,20,368
3,75,6,522
3,75,8,760
3,75,10,582
3,75,14,421
3,75,18,423
3,75,20,422
3,120,6,601
3,120,8,728
3,120,10,719
3,120,14,546
3,120,18,536
3,120,20,488
3,160,6,865
3,160,6,674
3,160,8,920
3,160,10,1042
3,160,14,520
3,160,18,705
3,160,18,641
3,160,20,572
3,210,6,928
3,210,6,713
3,210,8,985
3,210,10,873
3,210,14,744
3,210,18,598
3,210,20,696
3,40,6,412
3,40,8,338
3,40,8,455
3,40,10,389
3,40,14,384
3,40,18,302
3,40,20,246
3,60,6,534
3,60,8,538
3,60,10,495
3,60,14,456
3,60,18,333
3,60,20,327
3,75,6,442
3,75,8,456
3,75,10,701
3,75,14,392
3,75,18,321
3,75,18,352
3,75,20,372
3,120,6,534
3,120,6,672
3,120,8,665
3,120,10,600
3,120,14,424
3,120,18,446
3,120,20,446
3,160,6,757
3,160,8,824
3,160,10,936
3,160,14,456
3,160,14,506
3,160,18,586
3,160,20,558
3,210,6,886
3,210,8,721
3,210,10,729
3,210,14,672
3,210,18,560
3,210,20,624
3,40,6,451
3,40,8,394
3,40,10,491
3,40,14,400
3,40,18,293
3,40,20,266
3,60,6,554
3,60,8,501
3,60,10,539
3,60,14,391
3,60,18,377
3,60,20,279
3,75,6,532
3,75,8,528
3,75,10,627
3,75,14,336
3,75,18,349
3,75,18,407
3,75,20,406
3,120,6,583
3,120,8,678
3,120,10,512
3,120,14,477
3,120,18,466
3,120,20,482
3,160,6,708
3,160,8,799
3,160,10,872
3,160,14,519
3,160,18,552
3,160,20,501
3,210,6,698
3,210,6,753
3,210,8,759
3,210,10,775
3,210,14,710
3,210,18,521
3,210,20,632
3,40,6,449
3,40,8,368
3,40,10,367
3,40,14,352
3,40,18,266
3,40,20,256
3,60,6,489
3,60,8,421
3,60,10,455
3,60,14,466
3,60,18,377
3,60,20,335
3,75,6,562
3,75,8,502
3,75,10,475
3,75,14,360
3,75,14,395
3,75,18,409
3,75,20,494
3,120,6,552
3,120,6,704
3,120,8,762
3,120,10,449
3,120,14,484
3,120,18,456
3,120,20,440
3,160,6,823
3,160,8,763
3,160,10,792
3,160,14,536
3,160,18,553
3,160,20,470
3,210,6,726
3,210,8,632
3,210,10,688
3,210,14,666
3,210,18,497
3,210,20,634
3,40,6,440
3,40,8,344
3,40,10,406
3,40,14,349
3,40,18,256
3,40,20,229
3,60,6,518
3,60,8,422
3,60,8,545
3,60,8,454
3,60,10,526
3,60,14,373
3,60,18,377
3,60,20,368
3,75,6,622
3,75,8,450
3,75,10,624
3,75,14,399
3,75,14,404
3,75,18,400
3,75,20,443
3,120,6,725
3,120,8,751
3,120,10,532
3,120,14,631
3,120,18,520
3,120,20,486
3,160,6,816
3,160,8,805
3,160,10,912
3,160,14,506
3,160,18,502
3,160,20,507
3,210,6,711
3,210,8,791
3,210,10,704
3,210,14,630
3,210,18,558
3,210,20,652
3,40,6,358
3,40,8,416
3,40,10,449
3,40,10,415
3,40,14,323
3,40,18,248
3,40,20,250
3,60,6,457
3,60,8,466
3,60,10,378
3,60,14,369
3,60,18,400
3,60,20,355
3,75,6,674
3,75,8,544
3,75,10,421
3,75,14,434
3,75,18,369
3,75,20,383
3,120,6,531
3,120,8,609
3,120,10,531
3,120,14,592
3,120,18,471
3,120,20,434
3,160,6,823
3,160,8,785
3,160,10,790
3,160,14,503
3,160,18,591
3,160,20,487
3,210,6,761
3,210,8,667
3,210,10,706
3,210,14,643
3,210,18,550
3,210,20,578
3,40,6,395
3,40,6,464
3,40,6,520
3,40,8,368
3,40,10,357
3,40,14,344
3,40,18,224
3,40,20,256
3,60,6,671
3,60,8,536
3,60,10,448
3,60,14,409
3,60,18,400
3,60,20,287
3,75,6,718
3,75,8,550
3,75,10,665
3,75,14,456
